A3CTXWISODY7D8,2.64
A2TXC8Q2IFGRXH,2.48
A3CH1Z6J9R38G9,2.18
ABBP9JASL9AGK,2.44
A3G5OWGKHW6OL5,1.68
A6MWJK1YEY5L2,2.52
A1F1TBDHPYAAXT,2.56
A136K4YZY2OFTV,2.48
A3LT7W355XOAKF,2.66
A19H6QRCGKBOUH,2.12
A163XFZG5BI0XU,2.6
A292TFDMNVS0TP,2.08
A2AAY4VT9L71SY,2.88
A3P4XZJM2DEATZ,2.58
A234UW0G9PMSCC,2.72
A3HCGNV93TJO7R,2.16
A3QYA7EFCS7BA2,2.6
A24M9OW53CLT94,2.6
A3FSDH6HUZPNQ8,2.36
AMHUDJ44HF1ZH,2.16
A28GXI90JIF3I7,2.24
A3FPXYVABXB9IZ,2.42
A2FYFCD16Z3PCC,2.54
A2Z6NL0CTXY0ZB,2.5
ADP4KXZZ72DP,2.56
ANKDLLQHHM2OH,2.12
A1DT7XOW0ISK0K,2.42
ATIVK9XUANIUE,2.02
A1M64R8HPYNNZA,2.62
A1R8A8BK2VN7RH,2.18
AERUGBNS48Z4N,2.46
A2O2Q0LVWOWJ1G,2.34
AXG2QCW21F3S7,2.2
A3P7AXWF57BHNX,2.44
A3RHJEMZ4EGY2U,2.78
A68J20100VW4W,2.52
AUFUUD4WG9CVO,2.08
A2TLN8489YGY81,2.36
ARQR5NIFA1AJ,2.02
A2Y4UMAUYJM9GK,2.66
A1ZVTAK0GLO959,2.56
A3NXT3OVGL7QNR,2.34
A25PFSORDO3SWQ,2.72
A5TI9UQEPLNWI,2.7
A27TE0L5XP1H0U,2.32
AHZ7C7ETHYX3N,2.28
AAXX5LDVJ32F8,2.46
A2866TYG0D96LM,2.26
AT0COJ1G23ZB0,2.42
ABX5OQLR6UNBC,2.4
AKNYT1NTK2UFK,1.96
A3QLGMZOLGMBQ1,2.08
A3QJJR5Y3XE92N,2.66
AV5FCKI1TTSKR,2.06
A1WJIRT360P5VB,2.24
