ADFJOOSM3Q18G,2.64
APVJEN2541WFB,2.06
A3HQXCWOIQKT4F,1.92
AOIR8V07FYMH5,2.48
A2BK9RMC0NOIH8,2.62
A10HW8JXM17XLD,2.28
AY7WPVKHVNBLG,2.36
A11YS0T8MV3Q7C,2.14
A1WEN4S934ZZ1U,2.32
A3ITZNJQUTIZ4C,2.48
A1NVJB5O4H7ZCJ,2.36
A3L8LSM7V7KX3T,2.22
AVD6HMIO1HLFI,2.32
A1W7I6FN183I8F,2.16
A3LVLZS8S41ZD7,2.28
A1BM57TUNAQIXM,2.3
AMLE1FC3SQVL8,2.04
A1DUPOUC9RNU4L,2.4
A3785TR8D5I81Q,2.46
A3OZ8KF0HWSVWK,2.64
ANUA9X7BFPTR8,2.26
A2CWA5VQZ6IWMQ,2.26
A122LRCSBAD6DC,2.3
A3EC3OP6U52JYC,1.52
A16335MOISDG1F,2.52
A14LOABUGAITBM,2.34
ALCPF5NANBDSZ,2.22
A1Q6VY3C3CEOA0,2.2
AJQGWGESKQT4Y,2.66
A2QX3YJXAAHHVV,2.4
AOOLS8280CL0Z,2.32
A2MWAXV1YRK5GH,2.18
A2UOSEPGNUITM8,2.72
A12H9WVHOB0E0O,2.46
A1TPGXT718D68E,2.32
A32TGAK321JDFF,2.28
A2C9OFEV72G568,2.78
A157L6Z8QU3SDE,2.74
A1NGGAVIGC9O7V,2.46
A24HOBENULGZA2,1.42
A27W025UEXS1G0,2.38
A1DNJ17PE2RYJZ,2.12
A12HZGOZQD5YK7,2.24
A20N1NK5X5S88F,2.62
ANBWJZYU2A68T,2.08
A3N66DKF3VNB9X,2.72
AEQAI1QN1YZG1,1.74
AI6U09NVOZ62B,1.86
A2G7N0X0PNX0EE,2.14
A1KET5Z038NMWD,2.62
A249EWKM1EOARK,2.64
A3QEVFM3UD67BA,1.94
A2KW87ZD2ELYNG,2.7
A1PF1T680LSXQ5,2.38
A2YTQDLACTLIBA,2.64
A1A0F0BAX3CDTF,2.12
