id,selfreport_date,selfreport_duration,selfreport_finished,DD-1,DD-2,DD-3,DD-4,DD-5,DD-6,DD-7,DD-8,DD-9,DD-10,DD-11,DD-12,DD-13,DD-14,DD-15,DD-16,DD-17,DD-18,DD-19,DD-20,DD-21,DD-22,DD-23,DD-24,DD-25,DD-26,DD-27,BIS-1,BIS-2,BIS-3,BIS-4,BIS-5,BIS-6,BIS-7,BIS-8,BIS-9,BIS-10,BIS-11,BIS-12,BIS-13,BIS-14,BIS-15,BIS-16,BIS-17,BIS-18,BIS-19,BIS-20,BIS-21,BIS-22,BIS-23,BIS-24,BIS-25,BIS-26,BIS-27,BIS-28,BIS-29,BIS-30,UP-1,UP-2,UP-3,UP-4,UP-5,UP-6,UP-7,UP-8,UP-9,UP-10,UP-11,UP-12,UP-13,UP-14,UP-15,UP-16,UP-17,UP-18,UP-19,UP-20,UP-21,UP-22,UP-23,UP-24,UP-25,UP-26,UP-27,UP-28,UP-29,UP-30,UP-31,UP-32,UP-33,UP-34,UP-35,UP-36,UP-37,UP-38,UP-39,UP-40,UP-41,UP-42,UP-43,UP-44,UP-45,UP-46,UP-47,UP-48,UP-49,UP-50,UP-51,UP-52,UP-53,UP-54,UP-55,UP-56,UP-57,UP-58,UP-59,PA-1,PA-2,PA-3,PA-4,PA-5,PA-6,PA-7,PA-8,PA-9,PA-10,PA-11,PA-12,PA-13,PA-14,PA-15,PA-16,PA-17,PA-18,PA-19,PA-20
s0012,8/23/21 08:14,683,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,4,1,2,3,1,1,3,4,4,3,1,4,4,1,4,1,1,1,1,4,1,1,1,1,1,1,2,1,4,4,1,4,4,1,4,4,4,4,4,4,1,4,4,1,4,1,4,4,1,4,1,4,4,1,4,4,1,1,4,4,4,1,1.0,4,4,4,1,1,4,4,4,1,1,4,4,4,4,1,4,4,4,4,1,4,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,
s0013,8/23/21 08:22,270,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,4,1,3,2,1,2,3,3,4,3,1,4,3,1,3,1,1,1,2,4,1,1,1,2,1,1,2,2,3,3,2,4,3,1,4,1,4,3,3,4,1,4,3,1,4,1,4,2,2,3,3,4,3,1,4,3,1,1,4,4,2,1,1.0,4,4,3,1,2,4,4,3,1,2,4,4,3,4,1,4,4,2,4,2,4,2,4,4,3,3,,,,,,,,,,,,,,,,,,,,
s0014,8/23/21 08:42,322,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,3,1,3,4,1,1,4,4,4,4,2,3,3,1,1,2,1,2,1,4,2,1,1,1,1,1,4,2,1,1,2,4,4,1,4,2,2,4,4,4,1,4,2,2,4,2,4,1,2,4,3,4,4,1,4,2,1,2,4,4,4,1,2.0,4,4,1,2,2,4,4,3,1,2,4,4,2,4,2,4,4,1,4,2,4,2,1,4,4,4,,,,,,,,,,,,,,,,,,,,
s0015,8/23/21 08:57,405,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,3,1,2,2,1,1,4,2,4,3,1,3,4,1,3,1,1,1,1,3,1,1,1,1,1,1,2,1,4,3,2,4,4,1,4,2,3,4,4,4,1,3,2,1,4,1,4,3,2,4,2,4,4,1,4,4,2,1,4,4,4,2,2.0,4,4,3,2,1,4,4,4,1,1,4,4,4,4,2,4,4,4,4,2,4,1,2,4,3,4,,,,,,,,,,,,,,,,,,,,
s0016,8/23/21 09:00,407,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,3,1,2,2,1,2,4,2,3,4,2,3,3,1,3,1,1,2,1,3,1,3,1,1,1,2,2,1,3,3,1,4,3,2,4,2,1,3,3,3,2,3,4,1,2,2,4,2,1,2,1,3,4,3,4,4,1,2,4,2,3,2,1.0,1,3,4,1,1,2,4,2,1,2,4,3,4,3,1,4,3,3,3,2,2,1,4,2,2,3,,,,,,,,,,,,,,,,,,,,
s0017,8/23/21 09:18,376,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,1,2,2,1,1,3,4,3,4,2,4,3,1,3,1,2,1,2,4,1,1,2,1,1,2,2,2,3,3,1,4,3,1,4,1,3,4,4,4,1,4,3,2,4,1,4,3,2,4,3,3,3,2,4,4,1,2,4,4,3,1,2.0,4,4,4,1,1,4,4,4,1,2,4,4,4,4,2,4,3,3,4,2,4,2,4,2,4,4,,,,,,,,,,,,,,,,,,,,
s0018,8/23/21 09:26,635,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,3,1,2,1,1,1,3,3,4,3,2,3,2,1,2,1,2,2,2,3,1,1,3,2,1,2,3,2,2,2,2,4,3,1,4,1,3,3,3,3,1,3,3,3,4,1,2,1,2,3,2,2,3,1,3,3,2,1,3,4,2,2,1.0,2,4,1,2,1,3,4,2,3,1,3,3,3,2,1,3,2,1,3,1,3,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,
s0019,8/23/21 09:38,305,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,4,1,4,3,1,2,4,3,4,4,1,4,4,1,4,1,1,1,1,4,1,2,2,3,1,2,2,1,4,2,2,4,2,1,4,1,4,2,4,4,2,4,2,1,4,1,4,4,1,4,2,4,3,1,4,4,1,1,4,4,2,1,1.0,3,4,4,1,2,4,4,3,1,1,4,4,3,4,1,4,4,1,4,2,4,1,1,3,4,4,,,,,,,,,,,,,,,,,,,,
s0020,8/23/21 12:31,428,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,2,3,4,2,1,2,2,3,3,3,2,3,2,3,4,1,3,1,3,3,3,4,1,1,1,3,2,2,2,3,3,2,2,1,3,2,2,1,2,3,3,2,3,2,2,3,2,1,2,3,2,2,2,1,3,2,2,2,2,2,2,3,3.0,2,3,1,2,3,2,2,2,2,2,2,3,1,1,3,2,2,1,2,3,2,3,1,2,2,3,,,,,,,,,,,,,,,,,,,,
s0021,8/23/21 16:12,328,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,3,1,2,2,1,1,3,3,4,3,1,3,3,1,3,1,3,1,1,3,1,1,1,1,1,2,1,2,2,3,2,3,3,1,2,2,3,3,4,2,3,2,1,3,4,2,2,4,2,4,2,3,4,2,4,4,2,1,4,2,2,1,2.0,3,3,4,1,1,4,4,4,2,2,4,2,2,3,1,1,1,4,2,1,3,2,4,4,4,3,,,,,,,,,,,,,,,,,,,,
s0022,8/23/21 12:49,351,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,1,2,3,1,2,4,4,3,4,1,4,4,1,3,1,1,1,1,4,1,1,2,1,1,2,1,1,4,4,1,4,3,1,4,1,3,3,4,4,1,4,3,1,4,1,3,3,1,4,1,3,4,2,4,4,1,1,4,4,3,1,1.0,4,4,4,1,1,4,4,4,1,1,4,4,4,4,1,4,3,4,4,2,4,1,4,3,4,4,,,,,,,,,,,,,,,,,,,,
s0023,8/23/21 13:43,427,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,4,1,3,3,1,1,4,3,4,2,1,4,4,1,4,1,1,1,1,4,1,2,1,1,2,2,1,1,4,4,1,2,3,1,4,1,2,3,4,4,1,4,2,1,4,1,4,3,2,4,1,4,4,1,4,4,4,4,4,4,2,1,1.0,4,4,4,1,1,3,4,3,1,1,4,4,4,4,1,4,2,4,3,1,4,1,3,2,2,4,,,,,,,,,,,,,,,,,,,,
s0025,8/23/21 16:01,563,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,3,3,1,1,3,3,1,2,1,2,1,2,3,2,3,1,2,2,2,2,1,3,3,2,3,3,1,4,2,1,3,4,4,1,3,3,1,4,2,2,2,1,4,3,4,3,2,4,4,1,2,3,4,4,2,1.0,4,4,4,1,2,4,4,3,1,2,3,3,4,2,2,4,3,4,4,2,4,1,4,3,3,3,,,,,,,,,,,,,,,,,,,,
s0026,8/23/21 17:54,510,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,3,1,2,2,2,2,3,3,3,3,2,3,2,1,2,2,1,2,2,3,2,1,2,2,1,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,3,4,2,2,4,2,4,2,2,3,2,3,2,2,3,3,2,2,4,4,2,2,2.0,4,4,2,2,2,4,4,2,2,2,4,4,3,2,2,4,4,2,4,2,4,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,
s0027,8/23/21 18:03,229,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,3,2,2,1,2,2,3,3,2,3,4,3,2,2,1,1,1,3,2,3,1,2,3,2,2,3,3,4,1,2,1,3,3,2,4,2,3,4,1,3,3,1,4,2,3,2,3,4,2,3,2,2,4,3,4,4,2,1,3,3,4,3,2.0,3,4,4,2,1,3,4,4,2,1,3,4,4,2,2,4,2,4,4,2,4,1,2,3,3,4,,,,,,,,,,,,,,,,,,,,
s0028,8/23/21 19:50,621,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,4,1,1,3,1,2,4,4,3,2,2,4,2,2,1,3,1,1,2,4,3,1,3,1,1,2,2,2,3,2,1,4,4,1,4,1,3,3,3,4,2,4,3,1,4,1,4,4,1,4,1,4,4,2,4,4,1,1,4,4,4,2,1.0,4,4,4,1,1,4,4,4,1,1,4,4,4,4,1,4,4,4,4,2,4,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,
s0029,8/23/21 20:54,310,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1,2,3,3,3,3,3,3,3,1,3,2,2,1,3,3,3,3,2,2,3,3,3,3,2,3,2,3,2,2,2,1,2,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,4,2,2,3,2,1,2,2.0,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,3,4,4,1,2,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,
s0030,8/24/21 03:45,272,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,1,1,3,3,3,3,1,3,3,1,2,1,1,1,1,3,1,1,2,1,1,1,3,1,2,2,2,4,3,2,4,2,3,3,3,4,2,4,3,2,4,2,3,2,3,4,2,4,3,2,4,3,2,2,4,4,3,2,2.0,4,4,3,2,2,3,4,3,2,2,4,4,3,3,2,4,4,3,4,2,4,2,3,3,4,4,,,,,,,,,,,,,,,,,,,,
s0031,8/24/21 04:46,516,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,1,3,1,1,2,3,2,3,3,1,3,2,2,3,2,1,1,1,3,1,1,1,2,1,2,2,1,2,2,2,4,3,1,3,2,4,3,4,3,2,3,3,2,3,2,3,2,1,4,2,4,4,1,4,3,1,1,3,3,3,1,2.0,3,3,3,1,2,3,3,3,1,2,3,3,4,3,2,4,3,2,3,2,3,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,
s0032,8/24/21 05:03,536,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,2,3,2,2,4,3,3,2,2,4,3,2,3,1,2,2,2,3,1,2,2,1,1,2,3,2,3,2,2,3,2,1,3,2,2,2,3,3,1,2,3,1,3,1,3,2,1,3,1,3,4,1,4,4,2,1,3,4,3,1,1.0,3,4,4,2,2,4,4,4,2,1,4,4,1,4,1,4,2,3,4,2,4,1,4,2,3,3,,,,,,,,,,,,,,,,,,,,
s0033,8/24/21 06:16,283,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,3,2,1,2,2,3,1,2,2,2,3,2,1,1,1,2,2,2,2,2,1,2,1,3,2,3,1,2,2,4,2,1,4,2,3,4,3,4,2,4,3,1,4,2,4,4,1,4,2,4,3,4,4,4,1,2,4,4,2,1,3.0,4,4,4,1,2,4,4,2,1,2,4,4,4,4,2,4,2,1,4,2,4,2,4,3,4,4,,,,,,,,,,,,,,,,,,,,
s0034,8/24/21 06:28,179,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,4,4,3,3,3,4,3,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,4,2,4,4,2,4,4,4,3,4,2.0,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
s0036,8/24/21 08:06,398,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,3,2,1,1,1,2,3,3,2,4,3,4,2,2,4,1,1,1,1,3,1,1,4,1,1,2,1,3,4,4,2,3,3,2,3,2,3,2,3,3,2,3,3,2,3,2,2,1,2,3,1,3,3,2,3,3,2,1,3,3,2,2,2.0,3,2,2,2,2,3,3,3,3,2,3,3,3,2,2,3,2,2,3,2,3,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,
s0037,8/24/21 08:16,527,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,3,3,3,4,2,3,4,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,3,3,2,4,2,1,4,2,3,2,3,4,3,2,2,1,4,2,3,4,1,3,2,3,3,2,3,4,1,1,3,3,3,1,2.0,2,4,4,1,2,3,3,4,1,1,3,4,4,4,2,3,2,4,3,2,3,2,4,2,3,3,,,,,,,,,,,,,,,,,,,,
s0038,8/24/21 09:25,404,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,2,1,1,2,3,3,1,2,2,3,3,1,3,2,1,2,1,3,2,2,2,2,2,3,2,2,2,3,2,4,2,2,4,2,3,3,3,4,1,4,2,3,4,1,4,4,3,4,2,3,3,4,4,4,2,2,4,4,2,1,1.0,4,4,4,2,2,3,4,3,3,1,4,4,3,2,1,4,4,1,4,2,4,1,4,2,3,4,,,,,,,,,,,,,,,,,,,,
s0039,8/24/21 11:14,391,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,4,1,3,1,1,1,4,4,4,4,1,4,4,1,3,1,1,1,1,4,1,1,2,1,1,2,1,1,3,4,1,4,4,1,4,1,3,4,4,4,1,4,2,1,4,1,4,3,2,4,1,4,4,1,4,4,1,1,4,4,3,1,1.0,4,4,4,1,1,4,4,4,1,1,4,4,4,4,1,4,4,2,4,1,4,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,
s0040,8/24/21 16:10,348,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,3,3,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,3,3,2,3,2,3,2,3,3,2,3,3,3,3,2,3,4,2,3,2,3,3,2,3,4,2,2,3,3,3,2,2.0,3,3,4,2,2,3,3,3,2,2,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,
s0041,8/24/21 17:54,212,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,4,1,2,1,1,4,4,2,3,3,2,4,3,1,2,1,1,3,2,4,1,2,1,1,1,3,2,2,3,4,2,3,3,1,4,1,4,2,4,3,1,3,4,1,4,1,2,2,1,4,2,2,4,3,3,3,1,1,2,4,3,1,2.0,2,4,1,1,1,2,4,4,1,2,2,3,4,3,1,4,2,1,4,2,4,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,
s0042,8/25/21 01:07,503,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,4,1,2,3,1,2,4,3,3,3,1,3,4,1,3,1,1,1,1,3,1,2,2,2,1,2,2,2,3,3,3,3,3,1,4,1,3,2,4,4,4,3,3,2,4,1,2,2,1,4,2,3,3,1,4,3,1,2,3,4,2,1,1.0,1,4,3,1,3,3,4,3,1,1,2,4,2,4,1,3,1,2,4,2,4,1,2,3,2,4,,,,,,,,,,,,,,,,,,,,
s0043,8/25/21 03:13,203,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,1,2,2,3,3,3,2,1,3,2,3,1,1,3,2,2,1,3,2,1,2,4,3,2,4,2,2,3,2,4,2,2,2,4,3,3,3,3,3,2,2,4,3,3,2,2,3,3,3,2,3,2,1,3,2,1,3,3,2.0,4,3,3,2,2,3,3,2,2,2,1,3,4,2,2,2,3,2,2,4,2,4,2,2,3,4,,,,,,,,,,,,,,,,,,,,
s0044,9/1/21 06:27,300,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,3,1,3,3,1,1,4,4,3,4,1,3,3,1,3,1,1,1,2,3,1,1,2,1,1,1,2,1,3,3,2,3,3,1,4,1,3,3,4,4,2,3,2,1,4,1,3,3,1,4,3,4,3,1,4,3,1,1,4,4,3,1,1.0,3,4,3,1,2,3,4,3,1,2,4,4,3,4,2,4,3,3,4,1,3,2,2,3,3,3,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0
s0045,9/1/21 06:32,492,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,3,1,2,2,1,4,2,3,2,4,4,4,4,1,1,1,1,4,1,2,1,1,1,3,1,4,2,4,2,4,2,4,3,1,4,2,3,3,2,4,2,4,4,1,4,1,4,4,2,4,1,4,4,2,4,4,1,1,4,4,3,1,1.0,4,4,4,2,1,1,4,4,1,1,4,4,4,4,1,4,2,4,4,4,4,1,4,4,4,4,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,5.0,4.0,5.0,2.0,3.0,1.0
s0046,9/1/21 06:28,201,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,3,2,2,2,1,3,2,2,3,1,2,4,2,3,3,2,4,1,4,2,2,3,4,3,2,3,3,3,2,2,2,3,1,2,3,3,4,4,2,2,2,3,2,3,2,4,1,3,2,2,4,2,1,2,4,3,3,3,3,2,2,2,2.0,3,1,4,2,1,3,4,2,2,1,3,2,3,3,1,1,3,2,1,2,2,3,2,4,1,2,1.0,2.0,3.0,4.0,2.0,3.0,5.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0,1.0
s0047,9/1/21 06:31,428,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,3,1,3,2,1,1,3,3,4,4,2,4,4,2,4,1,2,1,2,4,1,2,1,2,1,3,2,2,4,3,3,4,2,1,4,2,3,4,4,4,3,2,3,1,4,1,4,1,1,3,3,3,2,1,4,3,1,1,3,4,2,1,1.0,3,4,3,1,3,2,4,3,1,1,3,4,4,4,1,3,2,2,3,2,4,1,3,2,3,4,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,3.0,1.0
